Timestamp,Email Address,What is your gender?,What gender are you attracted to?,Are you an introvert or extrovert?,What's your ideal first date?,What type of sense of humor attracts you most?,Which hobby would you love to share with your partner?,Do you think communication is important?,What kind of lifestyle matches yours?,What’s your take on PDA (Public Displays of Affection)?,What kind of music speaks to your soul?,How do you show love to your partner?,"If you could cook dinner for someone, what would you cook?",How do you handle leadership roles?,How do you express your needs and opinions?,How do you handle stressful situations?,How do you collaborate in group projects?,How motivated are you to achieve your goals?,"When you have a project due, how do you approach it?",How do you typically spend your free time?,How do you feel in large social gatherings?,How do you respond to someone needing help?,How often do you feel anxious or stressed?,Column 24
11/29/2025 02:06:00,user1@test.com,3,5,1,1,3,4,3,4,1,3,3,1,1,2,2,1,2,1,3,3,3,3
09/18/2025 22:37:00,user2@test.com,2,8,1,3,4,3,1,4,4,3,2,1,1,1,3,2,1,1,4,2,2,1
07/16/2025 01:56:00,user3@test.com,1,6,1,4,4,1,1,1,1,4,2,4,1,4,2,2,4,3,2,2,3,4
07/16/2025 02:13:00,user4@test.com,1,4,2,3,4,2,2,2,2,2,2,1,4,4,4,4,1,4,4,4,2,3
01/03/2026 06:26:00,user5@test.com,3,6,1,1,3,2,4,4,3,4,1,4,4,2,2,3,3,2,4,3,2,1
04/10/2025 01:19:00,user6@test.com,1,5,2,3,1,1,3,2,1,2,4,3,2,3,1,2,2,3,3,4,3,3
01/12/2026 06:49:00,user7@test.com,2,5,1,2,2,4,4,4,1,4,4,2,2,4,2,4,4,3,3,1,1,2
04/15/2025 15:45:00,user8@test.com,3,7,1,3,3,4,3,4,2,2,1,1,4,1,1,2,1,4,3,1,2,4
03/30/2025 14:40:00,user9@test.com,3,4,2,4,3,4,4,1,2,3,1,4,4,2,1,2,3,1,4,3,1,2
10/19/2025 07:52:00,user10@test.com,1,7,2,3,2,4,3,4,4,4,2,3,3,1,1,4,3,1,1,1,3,4
05/22/2025 03:26:00,user11@test.com,1,1,2,2,3,4,1,4,3,3,2,2,2,1,4,3,2,1,4,2,4,2
04/27/2025 08:54:00,user12@test.com,1,6,2,1,4,1,4,2,1,4,1,1,4,3,3,4,3,1,4,3,4,2
08/28/2025 20:49:00,user13@test.com,3,2,2,3,2,4,2,3,3,4,3,3,1,2,1,3,1,1,3,2,4,2
12/02/2025 09:39:00,user14@test.com,3,2,2,1,2,3,3,1,3,2,1,3,2,1,4,3,1,4,3,2,2,4
09/07/2025 09:47:00,user15@test.com,3,8,2,1,4,4,1,3,4,1,1,1,3,3,1,4,1,1,2,2,3,1
06/09/2025 14:45:00,user16@test.com,1,6,1,4,3,1,1,2,1,1,3,2,2,2,4,1,4,3,4,3,3,2
11/30/2025 11:09:00,user17@test.com,2,8,2,1,4,1,1,4,2,4,2,2,4,2,3,4,2,4,1,2,2,3
06/28/2025 01:37:00,user18@test.com,2,7,2,1,3,2,1,4,1,2,4,2,3,4,2,1,2,1,4,1,3,3
12/30/2025 16:36:00,user19@test.com,2,3,1,4,1,3,4,4,2,2,4,3,2,2,3,2,4,2,1,4,1,4
12/15/2025 02:32:00,user20@test.com,3,7,1,4,2,2,2,2,4,2,3,1,4,1,3,3,1,3,1,1,1,3
05/25/2025 08:17:00,user21@test.com,3,3,2,2,2,1,1,1,3,1,2,3,2,2,4,2,1,1,4,3,4,3
05/09/2025 20:27:00,user22@test.com,2,6,2,1,3,1,1,4,2,4,1,4,1,1,3,2,4,2,2,1,1,2
09/28/2025 20:58:00,user23@test.com,1,3,2,3,1,1,3,4,3,3,4,3,2,4,4,3,4,4,2,1,4,2
05/21/2025 20:17:00,user24@test.com,1,5,2,4,3,1,2,1,2,3,1,3,3,4,2,3,2,4,2,2,3,2
